,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
DDX11L1,4,1,2,1,1,1,0,6,3,1,0,2
WASH7P,421,46,342,345,192,18,233,217,125,313,321,726
MIR6859-3,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,2,42,30,51,43,87,22,41,75,20,46,83
FAM138D,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0,1,2,0,0,0
MIR6723,0,0,1,0,2,0,0,1,0,0,0,0
LOC100133331,11,1,7,10,4,15,0,10,21,33,44,60
LOC100288069,56,23,28,2,38,14,29,49,70,37,41,6
FAM87B,0,0,1,2,3,1,1,0,1,1,0,1
LINC00115,5,35,35,17,25,44,23,52,76,15,38,34
LINC01128,82,142,149,121,665,358,66,134,387,273,252,188
FAM41C,4,2,1,1,1,1,1,1,4,1,2,2
LOC100130417,70,10,22,34,16,50,4,8,5,2,3,12
SAMD11,119,10,55,100,42,104,1,18,15,36,3,29
NOC2L,478,427,348,644,469,507,563,135,1212,599,1215,1204
KLHL17,119,80,127,129,39,162,22,73,105,31,78,271
PLEKHN1,1,3,2,1,7,3,6,3,2,0,2,3
PERM1,5,1,0,9,4,4,2,8,2,2,0,7
HES4,380,425,9,281,347,189,189,450,104,188,290,390
ISG15,107,8,51,2,14,86,8,22,133,42,19,38
AGRN,1052,4637,344,3758,532,2088,3042,1277,4767,1073,748,3885
RNF223,0,0,0,0,0,0,3,0,0,0,1,1
C1orf159,32,84,19,72,14,54,23,125,51,111,112,83
LINC01342,0,0,0,0,0,1,1,0,0,0,0,1
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,0
TTLL10,3,0,0,0,0,1,0,2,1,0,0,0
TNFRSF18,1,0,0,0,1,1,0,0,1,0,3,3
TNFRSF4,3,1,0,0,0,1,2,3,8,0,5,1
SDF4,128,597,1040,557,662,109,804,19,442,429,726,1410
B3GALT6,43,78,219,119,310,225,156,189,158,28,350,360
FAM132A,16,1,0,12,5,15,3,15,45,4,15,20
UBE2J2,614,224,432,13,252,149,148,375,300,46,356,318
SCNN1D,48,161,92,29,51,253,12,203,157,216,69,247
ACAP3,136,1665,1694,1431,1229,1649,1242,1921,465,1939,1586,3146
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,209,236,203,138,89,180,132,213,92,406,280,52
CPSF3L,246,521,29,323,126,1048,468,1355,417,1487,1584,1567
